date, pm25, pm10, o3, no2, so2, co
2019/7/26, 58, , 33, , 4, 7
2019/7/27, 47, , 34, , 6, 7
2019/7/28, 40, , 31, , 3, 6
2019/7/29, 28, , 39, , 4, 6
2019/7/30, 44, , 37, , 5, 7
2019/7/31, 45, , 36, , 5, 8
2019/8/1, 51, , 32, , 5, 6
2019/8/2, 43, , 31, , 4, 7
2019/8/3, 56, , 38, , 3, 7
2019/8/4, 52, , 34, , 4, 7
2019/8/5, 38, , 45, , 3, 7
2019/8/6, 36, , 41, , 4, 7
2019/8/7, 47, , 38, , 5, 6
2019/8/8, 40, , 39, , 4, 6
2019/8/9, 37, , 36, , 5, 6
2019/8/10, 43, , 34, , 4, 6
2019/8/11, 46, , 37, , 3, 6
2019/8/12, 38, , 42, , 4, 5
2019/8/13, 44, , 36, , 6, 5
2019/8/14, 35, , 67, , 5, 6
2019/8/15, 77, , 73, , 5, 6
2019/8/16, 79, , 63, , 4, 5
2019/8/17, 44, , 52, , 7, 6
2019/8/18, 55, , 39, , 7, 6
2019/8/19, 38, , 37, , 7, 6
2019/8/20, 46, , 35, , 7, 7
2019/8/21, 50, , 43, , 4, 6
2019/8/22, 41, , 46, , 5, 6
2019/8/23, 39, , 47, , 4, 6
2019/8/24, 40, , 44, , 4, 6
2019/8/25, 33, , 48, , 4, 5
2019/8/26, 40, , 53, , 4, 6
2019/8/27, 42, , 54, , 4, 6
2019/8/28, 34, , 48, , 4, 5
2019/8/29, 33, , 50, , 5, 6
2019/8/30, 38, , 58, , 7, 6
2019/8/31, 51, , 49, , 7, 7
2019/9/1, 61, , 18, , 8, 7
2019/9/2, 64, , 58, , 6, 6
2019/9/3, 71, , 53, , 6, 7
2019/9/4, 61, , 44, , 7, 9
2019/9/5, 65, , 41, , 5, 7
2019/9/6, 50, , 41, , 5, 7
2019/9/7, 53, , 51, , 5, 6
2019/9/8, 37, , 58, , 5, 6
2019/9/9, 37, , 47, , 5, 6
2019/9/10, 36, , 56, , 7, 6
2019/9/11, 54, , 38, , 7, 7
2019/9/12, 57, , 37, , 6, 7
2019/9/13, 70, , 48, , 5, 7
2019/9/14, 46, , 45, , 5, 6
2019/9/15, 49, , 47, , 5, 6
2019/9/16, 49, , 53, , 7, 7
2019/9/17, 71, , 49, , 10, 7
2019/9/18, 72, , 57, , 6, 7
2019/9/19, 64, , 60, , 5, 7
2019/9/20, 64, , 66, , 7, 8
2019/9/21, 85, , 65, , 9, 8
2019/9/22, 73, , 43, , 7, 5
2019/9/23, 48, , 54, , 5, 6
2019/9/24, 53, , 61, , 6, 7
2019/9/25, 50, , 59, , 8, 8
2019/9/26, 62, , 63, , 8, 6
2019/9/27, 64, , 61, , 9, 6
2019/9/28, 66, , 49, , 7, 5
2019/9/29, 62, , 45, , 8, 5
2019/9/30, 55, , 44, , 10, 6
2019/10/1, 52, , 45, , 18, 5
2019/4/2, 48, , 38, , 3, 7
2019/4/3, 36, , 35, , 4, 9
2019/4/4, 45, , 20, , 3, 8
2019/4/5, 45, , 42, , 3, 8
2019/4/6, 46, , 45, , 3, 8
2019/4/7, 41, , 63, , 5, 7
2019/4/8, 53, , 59, , 4, 9
2019/4/9, 58, , 51, , 6, 8
2019/4/10, 59, , 57, , 6, 8
2019/4/11, 51, , 45, , 6, 10
2019/4/12, 50, , 54, , 5, 8
2019/4/13, 52, , 42, , 6, 8
2019/4/14, 52, , 46, , 6, 7
2019/4/15, 46, , 34, , 6, 8
2019/4/16, 48, , 32, , 5, 8
2019/4/17, 45, , 28, , 6, 9
2019/4/18, 58, , 45, , 5, 9
2019/4/19, 48, , 35, , 2, 7
2019/4/20, 33, , 36, , 5, 8
2019/4/21, 46, , 32, , 2, 6
2019/4/22, 27, , 24, , 6, 10
2019/4/23, 43, , 50, , 5, 9
2019/4/24, 57, , 23, , 6, 11
2019/4/25, 55, , 30, , 5, 8
2019/4/26, 48, , 34, , 9, 10
2019/4/27, 62, , 29, , 9, 9
2019/4/28, 53, , 29, , 4, 7
2019/4/29, 32, , 33, , 7, 9
2019/4/30, 55, , 23, , 4, 8
2019/5/1, 49, , 38, , 6, 7
2019/5/2, 51, , 31, , 7, 9
2019/5/3, 54, , 28, , 10, 8
2019/5/4, 50, , 32, , 5, 7
2019/5/5, 46, , 31, , 4, 7
2019/5/6, 31, , 26, , 7, 8
2019/5/7, 42, , 34, , 6, 7
2019/5/8, 55, , 29, , 5, 5
2019/5/9, 41, , 26, , 4, 6
2019/5/10, 42, , 34, , 5, 6
2019/5/11, 43, , 47, , 5, 6
2019/5/12, 48, , 37, , 6, 6
2019/5/13, 44, , 13, , 9, 9
2019/5/14, 61, , 32, , 7, 8
2019/5/15, 63, , 25, , 7, 8
2019/5/16, 53, , 35, , 9, 6
2019/5/17, 50, , 42, , 4, 5
2019/5/18, 52, , 38, , 5, 5
2019/5/19, 36, , 22, , 4, 6
2019/5/20, 27, , 25, , 10, 9
2019/5/21, 49, , 34, , 9, 8
2019/5/22, 55, , 31, , 7, 7
2019/5/23, 50, , 21, , 7, 8
2019/5/24, 56, , 32, , 8, 5
2019/5/25, 46, , 40, , 5, 4
2019/5/26, 44, , 35, , 7, 4
2019/5/27, 31, , 28, , 6, 5
2019/5/28, 43, , 31, , 5, 4
2019/5/29, 41, , 35, , 2, 4
2019/5/30, 36, , 31, , 2, 4
2019/5/31, 36, , 31, , 2, 5
2019/6/1, 37, , 44, , 2, 5
2019/6/2, 40, , 27, , 4, 6
2019/6/3, 38, , 23, , 4, 7
2019/6/4, 45, , 23, , 5, 7
2019/6/5, 44, , 24, , 5, 7
2019/6/6, 42, , 31, , 5, 6
2019/6/7, 45, , 38, , 5, 6
2019/6/8, 45, , 28, , 7, 6
2019/6/9, 52, , 34, , 5, 6
2019/6/10, 42, , 29, , 3, 6
2019/6/11, 38, , 23, , 2, 5
2019/6/12, 40, , 20, , 5, 7
2019/6/13, 50, , 25, , 4, 7
2019/6/14, 72, , 25, , 4, 8
2019/6/15, 65, , 36, , 4, 7
2019/6/16, 55, , 26, , 2, 6
2019/6/17, 39, , 24, , 2, 6
2019/6/18, 32, , 27, , 4, 7
2019/6/19, 41, , 31, , 3, 7
2019/6/20, 38, , 26, , 3, 6
2019/6/21, 36, , 31, , 1, 6
2019/6/22, 33, , 31, , 1, 6
2019/6/23, 32, , 27, , 1, 5
2019/6/24, 30, , 26, , 3, 7
2019/6/25, 43, , 47, , 5, 6
2019/6/26, 56, , 35, , 5, 6
2019/6/27, 47, , 33, , 5, 6
2019/6/28, 48, , 27, , 5, 8
2019/6/29, 47, , 27, , 5, 5
2019/6/30, 43, , 31, , 1, 4
2019/7/1, 32, , 30, , 3, 5
2019/1/2, 43, , 27, , 3, 7
2019/1/3, 47, , 25, , 3, 7
